node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
186,4,4,2.0,0.0,130.0,1.0,47.0,1,1,7,2 path,1 all neighbours foreign,3.9695301055908203,0.5849529580931048
187,0,0,2.0,0.0,130.0,0.0,80.0,0,0,0,2 path,0 no foreign neighbour,16.23419952392578,0.5633977804385755
188,0,0,2.0,0.0,130.0,0.0,80.0,1,1,6,2 path,0 no foreign neighbour,1.0,0.5622035648888907
189,0,0,4.0,0.1666666716337204,130.0,0.25,80.0,0,0,0,3+ branch,mixed,13.963800430297852,0.6180240066105167
190,0,0,2.0,1.0,130.0,0.5,80.0,0,0,0,2 path,mixed,12.333800315856934,0.6003925742060682
191,0,0,0.0,0.0,1.0,,80.0,0,0,0,0 isolated,,1.0,0.8157432302919361
192,0,0,0.0,0.0,1.0,,80.0,0,0,1,0 isolated,,51.73820114135742,0.6960028630406959
193,0,0,0.0,0.0,1.0,,80.0,0,0,1,0 isolated,,125.2959976196289,0.7103965205363157
194,0,0,0.0,0.0,1.0,,80.0,0,0,0,0 isolated,,1.0,0.9061733306550698
195,0,0,0.0,0.0,1.0,,80.0,0,0,0,0 isolated,,1.0861799716949463,1.5253105700838576
196,0,0,1.0,0.0,2.0,0.0,80.0,1,0,9,1 tip,0 no foreign neighbour,19.548599243164062,2.8847954698632643
197,0,0,1.0,0.0,2.0,0.0,80.0,0,0,0,1 tip,0 no foreign neighbour,1.0,0.6978005119922723
198,0,0,1.0,0.0,2.0,0.0,80.0,0,0,0,1 tip,0 no foreign neighbour,1.0,0.6842008946668483
199,0,0,1.0,0.0,2.0,0.0,80.0,0,0,0,1 tip,0 no foreign neighbour,6.885709762573242,0.699248441143142
200,8,8,1.0,0.0,75.0,0.0,13.0,1,1,6,1 tip,0 no foreign neighbour,1.8776400089263916,5.241937429486332
201,8,8,1.0,0.0,75.0,0.0,13.0,1,1,6,1 tip,0 no foreign neighbour,2.083980083465576,5.730235517907148
202,0,0,0.0,0.0,1.0,,80.0,0,0,0,0 isolated,,1.3412400484085083,1.058812456402318
203,0,0,0.0,0.0,1.0,,80.0,0,0,1,0 isolated,,34.66899871826172,0.6910775532976147
204,0,0,0.0,0.0,1.0,,80.0,0,0,0,0 isolated,,2.452699899673462,2.3796530110886347
205,2,2,0.0,0.0,1.0,,1.0,0,0,2,0 isolated,,3.49114990234375,
206,5,5,1.0,0.0,4.0,0.0,4.0,0,0,4,1 tip,0 no foreign neighbour,1.8999199867248535,47.97255298266183
207,5,5,3.0,0.0,4.0,0.0,4.0,1,1,9,3+ branch,0 no foreign neighbour,4.297840118408203,33.763827728488735
208,5,5,1.0,0.0,4.0,0.0,4.0,1,0,9,1 tip,0 no foreign neighbour,3.7228899002075195,33.61765047857462
209,5,5,1.0,0.0,4.0,0.0,4.0,1,0,9,1 tip,0 no foreign neighbour,1.9830900430679321,19.61442609285627
210,3,3,0.0,0.0,1.0,,19.0,1,1,0,0 isolated,,11.733099937438965,4.336114822257323
211,3,3,7.0,0.095238097012043,130.0,0.14285714285714285,19.0,0,0,8,3+ branch,mixed,125.88800048828125,4.486483556154833
212,0,0,4.0,0.1666666716337204,130.0,0.75,80.0,1,1,6,3+ branch,mixed,14.271499633789062,1.943766421801681
213,4,4,3.0,0.3333333432674408,130.0,1.0,47.0,1,1,6,3+ branch,1 all neighbours foreign,16.089599609375,5.181446056851038
214,4,4,3.0,0.3333333432674408,130.0,1.0,47.0,1,0,6,3+ branch,1 all neighbours foreign,16.39419937133789,1.036085921031863
215,4,4,2.0,1.0,130.0,1.0,47.0,1,0,6,2 path,1 all neighbours foreign,18.357200622558594,0.3617903302328422
216,0,0,3.0,0.0,130.0,0.6666666666666666,80.0,0,0,5,3+ branch,mixed,19.285499572753906,1.3524330536264415
217,4,4,4.0,0.3333333432674408,130.0,0.75,47.0,1,0,5,3+ branch,mixed,18.84709930419922,0.3001781003795687
218,4,4,4.0,0.0,130.0,0.75,47.0,1,1,7,3+ branch,mixed,18.597000122070312,8.487859225822294
219,4,4,2.0,0.0,130.0,1.0,47.0,1,1,0,2 path,1 all neighbours foreign,5.9025797843933105,0.8225505118717148
220,0,0,3.0,0.0,130.0,0.6666666666666666,80.0,0,0,5,3+ branch,mixed,19.575000762939453,1.7930646355533184
221,0,0,4.0,0.1666666716337204,130.0,0.75,80.0,0,0,5,3+ branch,mixed,21.44610023498535,0.2561785243878317
222,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,12.507200241088867,0.3432916146935294
223,4,4,4.0,0.0,130.0,0.5,47.0,1,0,5,3+ branch,mixed,15.51159954071045,1.0833968585427174
224,4,4,4.0,0.0,130.0,0.75,47.0,1,0,7,3+ branch,mixed,18.386600494384766,3.7438147666728963
225,4,4,2.0,0.0,130.0,0.5,47.0,1,1,5,2 path,mixed,18.000900268554688,0.2891641303195543
226,4,4,3.0,0.0,130.0,0.3333333333333333,47.0,1,1,5,3+ branch,mixed,17.781099319458008,0.3194694232673603
227,0,0,4.0,0.0,130.0,0.5,80.0,0,0,7,3+ branch,mixed,18.26300048828125,5.3980091625190765
228,4,4,4.0,0.1666666716337204,130.0,0.5,47.0,1,1,0,3+ branch,mixed,15.887399673461914,0.3478461656944122
229,0,0,4.0,0.1666666716337204,130.0,0.5,80.0,0,0,5,3+ branch,mixed,23.536300659179688,0.2443976334430561
230,4,4,4.0,0.3333333432674408,130.0,0.5,47.0,1,0,5,3+ branch,mixed,19.41029930114746,2.3071324754678875
231,6,6,2.0,0.0,75.0,0.0,18.0,1,1,9,2 path,0 no foreign neighbour,2.5454299449920654,5.716647596527112
232,7,7,2.0,0.0,75.0,0.5,48.0,0,0,6,2 path,mixed,6.086830139160156,8.650872744674265
233,0,0,3.0,0.0,130.0,0.6666666666666666,80.0,0,0,7,3+ branch,mixed,16.4242000579834,8.179255623925417
234,4,4,4.0,0.0,130.0,0.5,47.0,1,1,5,3+ branch,mixed,22.70680046081543,0.4789434933308128
235,0,0,4.0,0.1666666716337204,130.0,0.25,80.0,0,0,7,3+ branch,mixed,17.060800552368164,3.908211982432811
236,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,14.960100173950195,0.3494486161503727
237,0,0,3.0,0.0,130.0,0.0,80.0,0,0,0,3+ branch,0 no foreign neighbour,15.692899703979492,0.5789412153846686
238,0,0,2.0,0.0,130.0,0.5,80.0,0,0,5,2 path,mixed,14.2391996383667,3.9156209460503013
