feature,role,n,rho,permutation_p
degree,graph,239.0,0.12524555496177164,0.07462686567164178
clustering,graph,239.0,0.10709562847133759,0.09950248756218906
component_size,graph,239.0,0.00982114012345372,0.8805970149253731
boundary,diagnostic_uses_labels,228.0,0.023428813607136,0.7910447761194029
class_size,diagnostic_uses_labels,239.0,-0.7106966757714918,0.004975124378109453
depth,model_input,239.0,-0.17048036881584125,0.009950248756218905
kmer_distance_to_class_mean,diagnostic_uses_labels,238.0,0.3792019614831327,0.004975124378109453
