dense_id	source_id	cfa_node_ids
3221	8010643	8010643
3222	8011051	8011051
3223	8011053	8011053
3224	8011851	8011851
3225	8011925	8011925
3226	8012103	8012103
3227	8012105	8012105
3228	8012267	8012267
3229	8012297	8012297
3230	8013019	8013019
3231	8013049	8013049
3232	8013181	8013181
3233	8013187	8013187
3234	8013193	8013193
3235	8013499	8013499
3236	8013555	8013555
3237	8013585	8013585
3238	8013741	8013741
3239	8013867	8013867
3240	8014369	8014369
3241	8014635	8014635
3242	8014953	8014953
3243	8015223	8015223
3244	8015419	8015419
3245	8015675	8015675
3246	8015975	8015975
3247	8015979	8015979
3248	8016169	8016169
3249	8016485	8016485
3250	8016643	8016643
3251	8016833	8016833
3252	8017037	8017037
3253	8017043	8017043
3254	8017053	8017053
3255	8017091	8017091
3256	8017385	8017385
3257	8017571	8017571
3258	8017595	8017595
3259	8017819	8017819
3260	8017885	8017885
3261	8018491	8018491
3262	8018883	8018883
3263	8019185	8019185
3264	8019461	8019461
3265	8019605	8019605
3266	8020067	8020067
3267	8021157	8021157
3268	8021547	8021547
3269	8021685	8021685
3270	8022375	8022375
3271	8022435	8022435
3272	8022477	8022477
3273	8022589	8022589
3274	8022823	8022823
3275	8022883	8022883
3276	8023357	8023357
3277	8023361	8023361
3278	8023363	8023363
3279	8023663	8023663
3280	8023971	8023971
3281	8023977	8023977
3282	8023983	8023983
3283	8024113	8024113
3284	8024173	8024173
3285	8024397	8024397
3286	8024421	8024421
3287	8024469	8024469
3288	8024487	8024487
3289	8024493	8024493
3290	8024571	8024571
3291	8024595	8024595
3292	8024691	8024691
3293	8024893	8024893
3294	8024929	8024929
3295	8026895	8026895
3296	8027125	8027125
3297	8027335	8027335
3298	8027389	8027389
3299	8027419	8027419
3300	8027447	8027447
3301	8027743	8027743
3302	8028013	8028013
3303	8028043	8028043
3304	8028047	8028047
3305	8028055	8028055
3306	8028195	8028195
3307	8028201	8028201
3308	8028207	8028207
3309	8028291	8028291
3310	8028357	8028357
3311	8028965	8028965
3312	8029025	8029025
