feature,role,n,rho,permutation_p
degree,graph,852.0,-0.12139302249552149,0.004975124378109453
clustering,graph,852.0,-0.07052264607149443,0.04477611940298507
component_size,graph,852.0,-0.12422479038113371,0.004975124378109453
boundary,diagnostic_uses_labels,396.0,0.40501921438138483,0.004975124378109453
class_size,diagnostic_uses_labels,852.0,-0.3226373205342641,0.004975124378109453
depth,not_in_model,852.0,-0.01487916631563505,0.6318407960199005
kmer_distance_to_class_mean,diagnostic_uses_labels,839.0,0.2636902357874601,0.004975124378109453
