feature,role,n,rho,permutation_p
degree,graph,383.0,-0.03313564760970596,0.5920398009950248
clustering,graph,383.0,,
component_size,graph,383.0,-0.03558876334563099,0.5472636815920398
boundary,diagnostic_uses_labels,30.0,0.2094269541458478,0.2736318407960199
class_size,diagnostic_uses_labels,383.0,-0.46087481797329616,0.004975124378109453
depth,model_input,383.0,-0.05066360579863816,0.27860696517412936
kmer_distance_to_class_mean,diagnostic_uses_labels,383.0,0.1652705585607398,0.004975124378109453
