node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
4657,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,2,2 path,0 no foreign neighbour,44.08000183105469,1.8413399278054439
4658,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,0,2 path,0 no foreign neighbour,62.96609878540039,5.380660237649645
4659,3,3,4.0,0.0,5139.0,0.0,295.0,1,1,0,3+ branch,0 no foreign neighbour,81.5802001953125,5.514054870042726
4660,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,0,2 path,0 no foreign neighbour,56.27859878540039,5.378178007285217
4661,1,1,2.0,0.0,5139.0,0.0,276.0,1,1,2,2 path,0 no foreign neighbour,65.02960205078125,11.042018093620944
4662,5,5,2.0,0.0,5139.0,1.0,336.0,1,1,4,2 path,1 all neighbours foreign,254.77699279785156,9.708616964214663
4663,2,2,2.0,0.0,5139.0,0.5,234.0,1,1,0,2 path,mixed,57.20719909667969,8.132607331348499
4664,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,8,2 path,0 no foreign neighbour,63.20940017700195,11.846218271906457
4665,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,0,2 path,0 no foreign neighbour,53.03300094604492,7.5425859196935106
4666,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,0,2 path,0 no foreign neighbour,61.39310073852539,7.5677955541400594
4667,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,9,2 path,mixed,65.21920013427734,1.092917126376204
4668,6,6,2.0,0.0,5139.0,1.0,733.0,1,1,9,2 path,1 all neighbours foreign,67.13919830322266,1.1174575241145537
4669,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,9,2 path,mixed,65.35469818115234,3.975042388730316
4670,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,63.29679870605469,4.5779642218906575
4671,1,1,2.0,0.0,5139.0,0.0,276.0,0,0,7,2 path,0 no foreign neighbour,64.24700164794922,4.0587966840480725
4672,3,3,2.0,0.0,5139.0,0.5,295.0,1,1,2,2 path,mixed,47.8661003112793,5.515662156279347
4673,8,8,2.0,0.0,5139.0,0.5,452.0,1,1,8,2 path,mixed,64.72029876708984,3.1165030089511374
4674,3,3,2.0,0.0,5139.0,0.5,295.0,1,1,2,2 path,mixed,66.96929931640625,5.252861154030346
4675,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,0,2 path,0 no foreign neighbour,67.43209838867188,8.066245267124533
4676,2,2,2.0,0.0,5139.0,0.5,234.0,1,1,0,2 path,mixed,61.929901123046875,7.171495483771911
4677,9,9,2.0,0.0,5139.0,0.5,373.0,1,1,9,2 path,mixed,43.923099517822266,3.6783101219116197
