feature,role,n,rho,permutation_p
degree,graph,5140.0,0.019552583586888633,0.11940298507462686
clustering,graph,5140.0,0.018046987914930875,0.208955223880597
component_size,graph,5140.0,-0.008786445300719183,1.0
boundary,diagnostic_uses_labels,5139.0,-0.1756644232319909,0.004975124378109453
class_size,diagnostic_uses_labels,5140.0,-0.465113847333548,0.004975124378109453
depth,model_input,5140.0,-0.05108521113414749,0.004975124378109453
kmer_distance_to_class_mean,diagnostic_uses_labels,5140.0,0.1952496800926405,0.004975124378109453
