node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
459,6,trolley,1.0,0.0,4562.0,0.0,261.0,1,1,4,1 tip,0 no foreign neighbour,84.27762603759766,0.07272705435752869,1.0,2.0
460,3,bus+trolley,5.0,0.0,4562.0,0.4,610.0,1,1,4,3+ branch,mixed,260.5548400878906,0.16436438262462616,2.0,6.0
461,3,bus+trolley,5.0,0.30000001192092896,4562.0,0.4,610.0,1,1,6,3+ branch,mixed,1103.3319091796875,0.1059522032737732,2.0,22.0
462,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,0,2 path,0 no foreign neighbour,580.0223999023438,0.15505874156951904,2.0,11.0
463,3,bus+trolley,4.0,0.0,4562.0,0.75,610.0,1,1,5,3+ branch,mixed,493.80535888671875,0.07714919745922089,2.0,8.0
464,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,0,1 tip,0 no foreign neighbour,917.9522094726562,0.10888683050870895,2.0,17.0
465,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,607.7535400390625,0.1463829129934311,2.0,11.0
466,6,trolley,3.0,0.0,4562.0,1.0,261.0,1,1,3,3+ branch,1 all neighbours foreign,94.14507293701172,0.07947614789009094,1.0,2.0
467,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,6,2 path,mixed,945.5333862304688,0.11376192420721054,2.0,18.0
468,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,0,2 path,0 no foreign neighbour,550.8074951171875,0.13762423396110535,2.0,10.0
469,6,trolley,2.0,0.0,4562.0,0.5,261.0,1,1,4,2 path,mixed,84.27762603759766,0.0816822201013565,1.0,2.0
470,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,5,3+ branch,1 all neighbours foreign,1029.43994140625,0.08326811343431473,2.0,16.0
471,3,bus+trolley,4.0,0.0,4562.0,0.75,610.0,1,1,0,3+ branch,mixed,731.9319458007812,0.12491573393344879,2.0,13.0
472,3,bus+trolley,4.0,0.1666666716337204,4562.0,0.75,610.0,1,1,0,3+ branch,mixed,458.6707458496094,0.17615678906440735,2.0,8.0
473,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,4,2 path,1 all neighbours foreign,142.6498260498047,0.0859857127070427,2.0,3.0
474,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,711.6611938476562,0.11071625351905823,2.0,13.0
475,6,trolley,1.0,0.0,4562.0,0.0,261.0,1,1,3,1 tip,0 no foreign neighbour,102.2294921875,0.08761373907327652,1.0,2.0
476,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,40.0788459777832,0.09121459722518921,1.0,1.0
477,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,161.0974578857422,0.09826032817363739,2.0,4.0
478,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,2,1 tip,1 all neighbours foreign,102.2294921875,0.08668215572834015,1.0,2.0
479,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,0,2 path,0 no foreign neighbour,161.0974578857422,0.10581320524215698,2.0,4.0
480,3,bus+trolley,3.0,0.0,4562.0,0.3333333333333333,610.0,1,1,5,3+ branch,mixed,759.497314453125,0.08791656047105789,2.0,13.0
