route,n_stops,cohesion,null_cohesion,span
bus:1,53,0.4528301886792453,0.340754716981132,0.10236220061779022
bus:10,47,0.425531914893617,0.3306382978723404,0.0899258702993393
bus:100,48,0.6875,0.3241666666666667,0.10514532029628754
bus:101,41,0.36585365853658536,0.331219512195122,0.5364564657211304
bus:101Э,16,0.4375,0.3925,0.5305854082107544
bus:102,80,0.45,0.316,0.17368216812610626
bus:103,81,0.6049382716049383,0.3353086419753087,0.4185602366924286
bus:105,41,0.5121951219512195,0.32292682926829275,0.08943818509578705
bus:106,39,0.5897435897435898,0.3358974358974358,0.08789844065904617
bus:107,23,0.4782608695652174,0.34782608695652173,0.07826180756092072
bus:108,35,0.6285714285714286,0.3394285714285714,0.14735300838947296
bus:109,38,0.5789473684210527,0.3357894736842105,0.19527366757392883
bus:109Б,43,0.5116279069767442,0.33767441860465114,0.264960914850235
bus:11,48,0.5,0.34291666666666665,0.1868559718132019
bus:110,39,0.5641025641025641,0.33948717948717944,0.19222773611545563
bus:111,40,0.7,0.33549999999999996,0.11010429263114929
bus:112,57,0.42105263157894735,0.3466666666666666,0.20775729417800903
bus:113,25,0.44,0.33039999999999997,0.058892156928777695
bus:114,55,0.5636363636363636,0.32799999999999996,0.19288624823093414
bus:115,16,0.9375,0.375,0.08402025699615479
bus:115А,34,0.8823529411764706,0.3376470588235294,0.14416974782943726
bus:116,53,0.6037735849056604,0.3279245283018868,0.12290345132350922
bus:117,45,0.8666666666666667,0.3502222222222222,0.17455461621284485
bus:118,41,0.5365853658536586,0.344390243902439,0.09402590990066528
bus:119,14,0.7857142857142857,0.3828571428571428,0.07379253208637238
bus:12,60,0.5,0.3303333333333333,0.18886585533618927
bus:120,25,0.52,0.3559999999999999,0.10496164858341217
bus:121,36,0.5,0.345,0.12334220856428146
bus:122,28,0.5,0.3364285714285714,0.05979456380009651
bus:123,79,0.5569620253164557,0.32177215189873415,0.18442820012569427
bus:124,36,0.5555555555555556,0.3583333333333333,0.13223734498023987
bus:125,22,0.5,0.3736363636363636,0.06839724630117416
bus:126,23,0.5652173913043478,0.35826086956521735,0.06711801141500473
