feature,role,n,rho,permutation_p
degree,graph,4570.0,0.154348273798952,0.004975124378109453
clustering,graph,4570.0,0.014432887246347262,0.373134328358209
component_size,graph,4570.0,0.016870770102371802,0.4626865671641791
boundary,diagnostic_uses_labels,4544.0,0.5174819390188022,0.004975124378109453
class_size,diagnostic_uses_labels,4570.0,-0.9793459925205633,0.004975124378109453
coverage,model_input,4570.0,0.14140918259248042,0.004975124378109453
dist_from_mean_coordinate,model_input,4570.0,-0.4060233074641431,0.004975124378109453
n_modes,not_in_model,4570.0,0.7179022661778477,0.004975124378109453
n_routes,not_in_model,4570.0,0.16658115671145693,0.004975124378109453
