node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
540,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,3,2 path,mixed,9.4281,355.0,0.49014084507042255,1.0
541,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.6419,317.0,0.3753943217665615,2.0
542,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,10.449,70.0,0.5,1.0
543,2,T3,4.0,0.0,394.0,0.0,156.0,1,1,1,3+ branch,0 no foreign neighbour,16.0,23.0,0.43478260869565216,1.0
544,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.5265,399.0,0.3208020050125313,2.0
545,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,16.2222,30.0,0.5333333333333333,2.0
546,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.8139,510.0,0.37450980392156863,2.0
547,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.3333,126.0,0.40476190476190477,1.0
548,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.3292,428.0,0.3341121495327103,2.0
549,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,15.0,34.0,0.5,2.0
550,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.6961,123.0,0.37398373983739835,1.0
551,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.8136,198.0,0.3434343434343434,2.0
552,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0809,256.0,0.32421875,2.0
553,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.4287,3280.0,0.38353658536585367,1.0
554,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,19.25,29.0,0.5172413793103449,2.0
555,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.6963,291.0,0.33676975945017185,2.0
556,2,T3,4.0,0.0,394.0,0.5,156.0,1,1,1,3+ branch,mixed,13.1463,62.0,0.4838709677419355,1.0
557,5,T7,4.0,0.0,394.0,0.5,163.0,1,1,1,3+ branch,mixed,10.6947,116.0,0.4224137931034483,1.0
558,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,17.8,26.0,0.5769230769230769,2.0
559,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,11.3333,45.0,0.35555555555555557,2.0
560,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.6102,2112.0,0.3835227272727273,1.0
561,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.3722,381.0,0.2992125984251969,2.0
562,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.5427,349.0,0.3868194842406877,2.0
563,4,T5,4.0,0.0,6.0,0.0,177.0,1,1,1,3+ branch,0 no foreign neighbour,3.0,22.0,0.45454545454545453,1.0
564,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,10.0132,97.0,0.5154639175257731,1.0
565,2,T3,2.0,0.0,394.0,0.5,156.0,0,0,3,2 path,mixed,8.9054,539.0,0.4582560296846011,1.0
566,5,T7,1.0,0.0,394.0,1.0,163.0,1,1,2,1 tip,1 all neighbours foreign,3.6148,304.0,0.42105263157894735,1.0
567,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.3014,240.0,0.32916666666666666,2.0
568,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.9104,445.0,0.3775280898876405,2.0
569,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,8.8312,1863.0,0.475577026301664,1.0
570,2,T3,2.0,0.0,394.0,0.0,156.0,0,0,3,2 path,0 no foreign neighbour,12.6711,97.0,0.4845360824742268,1.0
571,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,9.1013,100.0,0.55,1.0
572,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,1.9313,283.0,0.38869257950530034,1.0
573,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,8.0,100.0,0.56,1.0
574,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.9292,741.0,0.3832658569500675,1.0
575,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,99.0,0.4444444444444444,1.0
576,3,T4,1.0,0.0,5.0,0.0,389.0,0,0,4,1 tip,0 no foreign neighbour,2.7387,308.0,0.40584415584415584,2.0
577,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,10.6613,83.0,0.5903614457831325,1.0
578,5,T7,3.0,0.0,394.0,0.6666666666666666,163.0,1,1,1,3+ branch,mixed,6.1818,219.0,0.4931506849315068,1.0
579,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0208,213.0,0.38967136150234744,2.0
580,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.6778,502.0,0.35856573705179284,2.0
581,3,T4,2.0,0.0,14.0,0.0,389.0,1,1,3,2 path,0 no foreign neighbour,2.7002,438.0,0.3356164383561644,1.0
582,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,99.0,0.32323232323232326,2.0
583,4,T5,2.0,0.0,3.0,0.5,177.0,1,1,4,2 path,mixed,2.7353,395.0,0.36455696202531646,1.0
584,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,4.018,354.0,0.3700564971751412,2.0
585,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.2765,1048.0,0.33396946564885494,2.0
586,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,6.5666,524.0,0.4770992366412214,1.0
587,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,15.2,26.0,0.5,2.0
588,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.8095,126.0,0.3333333333333333,1.0
589,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,73.0,0.2602739726027397,1.0
590,2,T3,3.0,0.0,394.0,0.3333333333333333,156.0,1,1,1,3+ branch,mixed,6.8182,43.0,0.5116279069767442,1.0
591,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.2441,574.0,0.3519163763066202,2.0
592,5,T7,3.0,0.0,394.0,0.6666666666666666,163.0,1,1,1,3+ branch,mixed,5.8182,43.0,0.5348837209302325,1.0
593,2,T3,2.0,0.0,394.0,1.0,156.0,1,1,1,2 path,1 all neighbours foreign,4.7931,50.0,0.46,1.0
594,2,T3,3.0,0.0,394.0,0.6666666666666666,156.0,1,1,1,3+ branch,mixed,3.6869,219.0,0.4931506849315068,1.0
595,2,T3,3.0,0.0,394.0,0.6666666666666666,156.0,1,1,1,3+ branch,mixed,6.6415,127.0,0.5354330708661418,0.0
596,5,T7,2.0,0.0,394.0,1.0,163.0,1,1,4,2 path,1 all neighbours foreign,6.9655,50.0,0.42,1.0
597,5,T7,3.0,0.0,394.0,0.3333333333333333,163.0,1,1,1,3+ branch,mixed,11.1226,127.0,0.5039370078740157,0.0
598,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9145,255.0,0.396078431372549,2.0
599,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.7594,1675.0,0.3958208955223881,1.0
600,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.381,126.0,0.3888888888888889,1.0
601,5,T7,2.0,0.0,394.0,0.5,163.0,1,1,1,2 path,mixed,7.5825,1166.0,0.4751286449399657,1.0
602,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0381,126.0,0.3492063492063492,1.0
603,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,3,2 path,mixed,15.1481,75.0,0.5333333333333333,1.0
604,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.7851,398.0,0.33668341708542715,2.0
605,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,9.7377,82.0,0.45121951219512196,1.0
606,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0661,611.0,0.32078559738134205,2.0
607,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,86.0,0.37209302325581395,1.0
608,4,T5,4.0,0.0,6.0,0.0,177.0,1,1,1,3+ branch,0 no foreign neighbour,10.8,26.0,0.2692307692307692,1.0
609,2,T3,2.0,0.0,394.0,1.0,156.0,1,1,1,2 path,1 all neighbours foreign,4.5926,75.0,0.5066666666666667,1.0
610,2,T3,2.0,0.0,394.0,0.5,156.0,0,0,3,2 path,mixed,8.5574,82.0,0.5,1.0
611,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.4403,155.0,0.4129032258064516,1.0
612,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,6.2035,134.0,0.5074626865671642,0.0
613,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,4.4074,129.0,0.3953488372093023,1.0
