feature,role,n,rho,permutation_p
degree,graph,983.0,0.24906714578408345,0.004975124378109453
clustering,graph,983.0,0.04182408657551322,0.21890547263681592
component_size,graph,983.0,0.26051772239166626,0.004975124378109453
boundary,diagnostic_uses_labels,477.0,-0.29322171546760495,0.004975124378109453
class_size,diagnostic_uses_labels,983.0,-0.37398248250142146,0.004975124378109453
coverage,not_in_model,983.0,0.25604271746840285,0.004975124378109453
length,not_in_model,983.0,0.01926557208674158,0.5373134328358209
gc,not_in_model,983.0,0.27997380750744305,0.004975124378109453
n_sample_colors,not_in_model,983.0,-0.550554273196265,0.004975124378109453
